EventID,EventText,Option1Text,Option1Type,Option1Value,Option2Text,Option2Type,Option2Value,Option3Text,Option3Type,Option3Value,Option4Text,Option4Type,Option4Value,CooldownDays,MaxPerMonth,CompanyType
1,Pay Rent,Accept (-500 money),Gesamtgeld,-500,Accept (-500 money),Gesamtgeld,-500,Accept (-500 money),Gesamtgeld,-500,Accept (-500 money),Gesamtgeld,-500,30,1,ALL
2,Pay electricity bills,Accept (-320 money),Gesamtgeld,-320,Accept (-320 money),Gesamtgeld,-320,Accept (-320 money),Gesamtgeld,-320,Accept (-320 money),Gesamtgeld,-320,30,1,ALL
3,Inflation. The resource costs are rising,Accept (+5 resource cost),Resourcen,5,Accept (+5 resource cost),Resourcen,5,Accept (+5 resource cost),Resourcen,5,Accept (+5 resource cost),Resourcen,5,45,1,ALL
4, Earthquake. Some machines broke, Accept that machines are broken, MaschinenHaltbarkeit,-100, Repair immediately (-2000 money). Machines half repaired, MaschinenHaltbarkeit,50, Repair a little (-200 money). Machines slightly repaired, MaschinenHaltbarkeit,10, Random machine fully repaired (-800 money), MaschinenHaltbarkeit,100,60,1, ALL
5, Supply chain disruption. Purchasing becomes more expensive, Accept (Resources cost  +15), Resourcen,15, Alternative suppliers (Resources cost +5), Resourcen,5, Raise prices (Products cost  +8), Produkte,8, Absorb the costs (-900 money), Gesamtgeld,-900,14,3, ALL.
6, Market is more price-sensitive than usual, Lower prices (Products cost  -8), Produkte,-8, Slightly increase prices (Products cost +4), Produkte,4, Save materials (Resources cost -4), Resourcen,-4, Start campaign (-600 money), Gesamtgeld,-600,14,3, ALL
7, An important spare part becomes scarce, Buy stock (-1200 money), Gesamtgeld,-1200, Expensive purchase (Resources cost +10), Resourcen,10, Extend maintenance (Machine Durability -3), MaschinenHaltbarkeit,-3, Machine upgrade (Machine cost +6), Maschinengeld,6,21,2, ALL
8, Insurance adjusts rates, Pay (-900 money), Gesamtgeld,-900, Cover yourself (Machine cost +5), Maschinengeld,5, Take risk (Machine Durability -2), MaschinenHaltbarkeit,-2, Raise prices (Products cost +3), Produkte,3,30,1, ALL
9, Good month. You can invest or take profit, Take profit (+2000 money), Gesamtgeld,2000, Increase material quality (Resources cost +6), Resourcen,6, Optimize prices (Products cost +5), Produkte,5, Machine upgrade (Machine cost +8), Maschinengeld,8,20,2, ALL
10, Maintenance backlog becomes noticeable, Pay maintenance (-700 money), Gesamtgeld,-700, Spare parts more expensive (Machine cost +5), Maschinengeld,5, Ignore (Machine Durability -2), MaschinenHaltbarkeit,-2, Reduce costs (Resources cost -3), Resourcen,-3,10,4, ALL
11, Festival site becomes available. High booth fee, Take it (-1800 money), Gesamtgeld,-1800, Decline (Products cost -2), Produkte,-2, Cheaper location (Resources cost +6), Resourcen,6, Improve equipment (Machine cost +5), Maschinengeld,5,21,2, Foodtruck
12, Cooling chain must be improved, Buy upgrade (Machine cost +15), Maschinengeld,15, Immediate measure (-900 money), Gesamtgeld,-900, Cheaper ingredients (Resources cost -4), Resourcen,-4, Risk (Machine Durability -4), MaschinenHaltbarkeit,-4,30,1, Foodtruck
